id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,status,debt_to_income_ratio,ltv_risk_bucket,credit_score_bucket
49802,2019,conforming loan,female,no pre-approval,personal loan,debt consolidation,high creditworthy,no open credit,business use,116500,4.99,1.4474,2463.12,360.0,no,no,no,138000.0,sb,primary residence,1u,1740.0,experian,679,cib,45-54,to_inst,84.42028986,north,0,41.0,High,Good
171958,2019,conforming loan,sex not available,pre-approved,home loan,business purpose,high creditworthy,no open credit,personal use,236500,3.99,0.4417,2517.59,360.0,no,no,no,268000.0,sb,primary residence,1u,5880.0,experian,853,exp,25-34,to_inst,88.24626866,south,0,44.0,High,Excellent
148174,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,136500,3.99,0.4522,3900.0,348.0,no,no,no,708000.0,sb,primary residence,1u,2340.0,crif,598,exp,65-74,to_inst,19.27966102,south,0,41.0,Low,Poor
78500,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,256500,4.25,0.622,3437.5,180.0,no,no,no,708000.0,sb,primary residence,1u,5640.0,experian,776,exp,65-74,to_inst,36.22881356,north,0,32.0,Low,Excellent
64562,2019,conforming loan,female,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,686500,3.375,-0.2241,0.0,360.0,no,no,no,838000.0,sb,primary residence,1u,7140.0,experian,653,cib,35-44,not_inst,81.92124105,north,0,48.0,High,Good
29546,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,286500,3.69,-0.0084,0.0,360.0,no,no,no,758000.0,sb,primary residence,1u,4800.0,experian,855,cib,35-44,not_inst,37.79683377,north,0,36.0,Low,Excellent
63333,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,566500,4.0,0.0554,5630.0,360.0,no,no,no,758000.0,sb,primary residence,1u,7620.0,crif,514,cib,35-44,not_inst,74.73614776,north,0,32.0,Moderate,Poor
114313,2019,conforming loan,sex not available,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,286500,3.375,0.1312,2887.18,360.0,no,no,no,308000.0,sb,primary residence,1u,7860.0,cibil,890,cib,45-54,to_inst,93.01948052,south,0,31.0,Very High,Excellent
66799,2019,conforming loan,sex not available,pre-approved,home loan,debt consolidation,high creditworthy,no open credit,personal use,266500,4.125,0.4472,2597.5,360.0,no,no,no,388000.0,sb,primary residence,1u,4800.0,experian,667,cib,65-74,to_inst,68.68556701,south,0,37.0,Moderate,Good
82180,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,136500,3.625,0.8731,3901.0,240.0,no,no,no,228000.0,sb,primary residence,1u,4200.0,cibil,541,cib,45-54,to_inst,59.86842105,north,0,23.0,Low,Poor
131912,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,486500,4.56,0.692,0.0,360.0,no,no,no,618000.0,sb,primary residence,1u,5040.0,crif,631,cib,45-54,not_inst,78.72168285,north,0,44.0,Moderate,Fair
132894,2019,conforming loan,female,pre-approved,home loan,business purpose,high creditworthy,no open credit,personal use,446500,3.75,-0.0266,0.0,360.0,no,no,no,858000.0,sb,secondary residence,1u,13500.0,cibil,899,cib,65-74,not_inst,52.03962704,north,0,13.0,Low,Excellent
96431,2019,conforming loan,joint,no pre-approval,home loan,home purchase,medium creditworthy,no open credit,personal use,196500,4.56,0.6441,3099.04,360.0,no,no,no,258000.0,sb,primary residence,1u,2340.0,experian,632,exp,35-44,to_inst,76.1627907,north,0,49.0,Moderate,Fair
28727,2019,non-conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,186500,3.99,0.3858,2555.5550000000003,240.0,yes,no,no,418000.0,sb,primary residence,1u,6360.0,equifax,515,exp,25-34,to_inst,75.11160714,north,1,39.0,Moderate,Poor
99615,2019,non-conforming loan,joint,pre-approved,commercial loan,debt consolidation,high creditworthy,no open credit,personal use,756500,3.99,0.2609,3750.0,360.0,no,no,no,898000.0,sb,primary residence,1u,15660.0,experian,891,exp,55-64,not_inst,84.24276169,central,0,39.0,High,Excellent
32768,2019,conforming loan,male,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,586500,3.25,-0.456,46.9,360.0,no,no,no,828000.0,sb,primary residence,1u,5820.0,cibil,629,cib,65-74,not_inst,70.83333333,north,0,39.0,Moderate,Fair
102033,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,146500,4.125,1.022,4210.0,180.0,no,no,no,188000.0,sb,primary residence,1u,5940.0,crif,687,exp,45-54,to_inst,77.92553191,north,0,49.0,Moderate,Good
131974,2019,conforming loan,joint,no pre-approval,home loan,home purchase,medium creditworthy,no open credit,personal use,706500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,828000.0,sb,primary residence,1u,6480.0,crif,682,exp,55-64,not_inst,85.32608696,north,1,58.0,High,Good
56714,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,426500,3.75,0.0291,1258.25,360.0,no,no,no,578000.0,sb,primary residence,1u,6300.0,crif,829,cib,25-34,not_inst,73.78892734,north,0,41.0,Moderate,Excellent
73024,2019,conforming loan,sex not available,no pre-approval,commercial loan,business purpose,high creditworthy,no open credit,personal use,316500,3.875,0.2422,0.0,360.0,no,no,no,308000.0,sb,primary residence,1u,5820.0,experian,713,cib,35-44,to_inst,102.7597403,south,0,39.0,Very High,Very Good
125577,2019,conforming loan,male,pre-approved,home loan,home purchase,high creditworthy,no open credit,personal use,176500,4.625,0.4461,3331.29,360.0,yes,no,no,178000.0,sb,primary residence,1u,3840.0,crif,890,cib,25-34,to_inst,99.15730337,north,0,24.0,Very High,Excellent
54638,2019,conforming loan,joint,no pre-approval,personal loan,home purchase,high creditworthy,no open credit,business use,226500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,238000.0,sb,primary residence,1u,6300.0,cibil,617,exp,25-34,to_inst,95.16806723,north,1,39.0,Very High,Fair
71221,2019,conforming loan,sex not available,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,236500,4.25,0.7527,7596.88,360.0,no,no,yes,288000.0,sb,primary residence,1u,4440.0,crif,597,cib,55-64,to_inst,82.11805556,south,0,44.0,High,Poor
114053,2019,conforming loan,joint,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,446500,3.99,-0.105,321.4,360.0,no,no,no,558000.0,sb,primary residence,1u,7860.0,cibil,707,exp,45-54,not_inst,80.01792115,south,0,38.0,High,Very Good
56785,2019,conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,226500,3.75,0.0511,3000.0,360.0,no,no,no,288000.0,sb,primary residence,1u,6180.0,cibil,627,cib,55-64,not_inst,78.64583333,north,0,29.0,Moderate,Fair
130266,2019,conforming loan,male,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,386500,3.75,0.2813,5993.08,360.0,no,no,no,598000.0,sb,primary residence,1u,6060.0,cibil,788,cib,25-34,not_inst,64.63210702,north,0,32.0,Moderate,Excellent
160928,2019,non-conforming loan,female,no pre-approval,home loan,debt consolidation,high creditworthy,no open credit,personal use,216500,4.375,0.3517,2196.35,360.0,no,no,no,358000.0,sb,primary residence,1u,2340.0,cibil,585,cib,45-54,to_inst,60.47486034,north,0,44.0,Moderate,Poor
45678,2019,conforming loan,male,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,216500,3.99,0.3858,2555.5550000000003,360.0,no,no,no,258000.0,sb,primary residence,1u,3240.0,cibil,741,cib,35-44,not_inst,83.91472868,south,1,44.0,High,Very Good
92094,2019,conforming loan,male,pre-approved,personal loan,home purchase,high creditworthy,no open credit,business use,276500,5.375,1.9802,0.0,360.0,yes,no,no,288000.0,sb,primary residence,1u,6240.0,crif,545,cib,35-44,to_inst,96.00694444,central,0,41.0,Very High,Poor
82847,2019,conforming loan,joint,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,306500,4.375,0.4159,4927.0,360.0,no,no,no,378000.0,sb,primary residence,1u,6660.0,crif,727,exp,65-74,to_inst,81.08465608,north,0,31.0,High,Very Good
63559,2019,conforming loan,joint,no pre-approval,home loan,home purchase,high creditworthy,no open credit,personal use,476500,4.125,0.2237,16892.0,360.0,no,no,no,638000.0,sb,ir,1u,5520.0,cibil,875,exp,45-54,to_inst,74.68652038,north,0,37.0,Moderate,Excellent
138938,2019,conforming loan,joint,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,436500,3.75,0.2576,5378.75,360.0,no,no,no,488000.0,sb,primary residence,1u,6120.0,crif,633,exp,35-44,not_inst,89.44672131,north,0,43.0,High,Fair
25711,2019,conforming loan,sex not available,no pre-approval,home loan,business purpose,high creditworthy,no open credit,personal use,486500,3.99,0.3858,2555.5550000000003,324.0,yes,yes,no,418000.0,sb,primary residence,1u,6720.0,equifax,867,exp,35-44,to_inst,75.11160714,south,1,39.0,Moderate,Excellent
