id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,interest_rate_spread,upfront_charges,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1
49802,2019,cf,female,nopre,type2,p3,l1,nopc,b/c,116500,4.99,1.4474,2463.12,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1u,1740.0,exp,679,cib,45-54,to_inst,84.42028986,north,direct,0,41.0
171958,2019,cf,sex not available,pre,type1,p4,l1,nopc,nob/c,236500,3.99,0.4417,2517.59,360.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1u,5880.0,exp,853,exp,25-34,to_inst,88.24626866,south,direct,0,44.0
148174,2019,cf,sex not available,nopre,type1,p3,l1,nopc,nob/c,136500,3.99,0.4522,3900.0,348.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1u,2340.0,crif,598,exp,65-74,to_inst,19.27966102,south,direct,0,41.0
78500,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,256500,4.25,0.622,3437.5,180.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1u,5640.0,exp,776,exp,65-74,to_inst,36.22881356,north,direct,0,32.0
64562,2019,cf,female,nopre,type1,p1,l1,nopc,nob/c,686500,3.375,-0.2241,0.0,360.0,not_neg,not_int,not_lpsm,838000.0,sb,pr,home,1u,7140.0,exp,653,cib,35-44,not_inst,81.92124105,north,direct,0,48.0
29546,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,286500,3.69,-0.0084,0.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1u,4800.0,exp,855,cib,35-44,not_inst,37.79683377,north,direct,0,36.0
63333,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,566500,4.0,0.0554,5630.0,360.0,not_neg,not_int,not_lpsm,758000.0,sb,pr,home,1u,7620.0,crif,514,cib,35-44,not_inst,74.73614776,north,direct,0,32.0
114313,2019,cf,sex not available,nopre,type1,p1,l1,nopc,nob/c,286500,3.375,0.1312,2887.18,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1u,7860.0,cib,890,cib,45-54,to_inst,93.01948052,south,direct,0,31.0
66799,2019,cf,sex not available,pre,type1,p3,l1,nopc,nob/c,266500,4.125,0.4472,2597.5,360.0,not_neg,not_int,not_lpsm,388000.0,sb,pr,home,1u,4800.0,exp,667,cib,65-74,to_inst,68.68556701,south,direct,0,37.0
82180,2019,cf,female,nopre,type1,p3,l1,nopc,nob/c,136500,3.625,0.8731,3901.0,240.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1u,4200.0,cib,541,cib,45-54,to_inst,59.86842105,north,direct,0,23.0
